Q1,query001s0.sql
Q161,query030s3.sql
Q162,query031s3.sql
Q163,query038s3.sql
Q164,query039as3.sql
Q165,query039bs3.sql
Q166,query040s3.sql
Q167,query040s3_spj.sql
Q168,query050s3.sql
Q169,query050s3_spj.sql
Q170,query054s3.sql
Q171,query058s3.sql
Q172,query059s3.sql
Q173,query064s3.sql
Q174,query065s3.sql
Q175,query069s3.sql
Q176,query072s3.sql
Q177,query072s3_spj.sql
Q178,query075s3.sql
Q179,query080s3.sql
Q180,query083s3.sql
Q181,query084s3.sql
Q182,query084s3_spj.sql
Q183,query085s3.sql
Q184,query085s3_spj.sql
Q185,query087s3.sql
Q186,query091s3.sql
Q187,query091s3_spj.sql
Q188,query094s3.sql
Q189,query099s3.sql
Q190,query099s3_spj.sql
Q191,query100s3.sql
Q192,query100s3_spj.sql
Q193,query101s3.sql
Q194,query101s3_spj.sql
Q195,query102s3.sql
Q196,query102s3_spj.sql
Q197,query001s4.sql
Q198,query010s4.sql
Q199,query013s4.sql
Q200,query013s4_spj.sql
Q201,query014s4.sql
Q202,query018s4_spj.sql
Q203,query019s4.sql
Q204,query019s4_spj.sql
Q205,query023s4.sql
Q206,query025s4.sql
Q207,query025s4_spj.sql
Q208,query027s4.sql
Q209,query027s4_spj.sql
Q210,query030s4.sql
Q211,query031s4.sql
Q212,query038s4.sql
Q213,query039as4.sql
Q214,query039bs4.sql
Q215,query040s4.sql
Q216,query040s4_spj.sql
Q217,query050s4.sql
Q218,query050s4_spj.sql
Q219,query054s4.sql
Q220,query058s4.sql
Q221,query059s4.sql
Q222,query064s4.sql
Q223,query065s4.sql
Q224,query069s4.sql
Q225,query072s4.sql
Q226,query072s4_spj.sql
Q227,query075s4.sql
Q228,query080s4.sql
Q229,query083s4.sql
Q230,query084s4.sql
Q231,query084s4_spj.sql
Q232,query085s4.sql
Q233,query085s4_spj.sql
Q234,query087s4.sql
Q235,query091s4.sql
Q236,query091s4_spj.sql
Q237,query094s4.sql
Q238,query099s4.sql
Q239,query099s4_spj.sql
Q240,query100s4.sql
Q241,query100s4_spj.sql
Q242,query101s4.sql
Q243,query101s4_spj.sql
Q244,query102s4.sql
Q245,query102s4_spj.sql
Q246,query001s5.sql
Q247,query010s5.sql
Q248,query013s5.sql
Q249,query013s5_spj.sql
Q250,query014s5.sql
Q251,query018s5_spj.sql
Q252,query019s5.sql
Q253,query019s5_spj.sql
Q254,query023s5.sql
Q255,query025s5.sql
Q256,query025s5_spj.sql
Q257,query027s5.sql
Q258,query027s5_spj.sql
Q259,query030s5.sql
Q260,query031s5.sql
Q261,query038s5.sql
Q262,query039as5.sql
Q263,query039bs5.sql
Q264,query040s5.sql
Q265,query040s5_spj.sql
Q266,query050s5.sql
Q267,query050s5_spj.sql
Q268,query054s5.sql
Q269,query058s5.sql
Q270,query059s5.sql
Q271,query064s5.sql
Q272,query065s5.sql
Q273,query069s5.sql
Q274,query072s5.sql
Q275,query072s5_spj.sql
Q276,query075s5.sql
Q277,query080s5.sql
Q278,query083s5.sql
Q279,query084s5.sql
Q280,query084s5_spj.sql
Q281,query085s5.sql
Q282,query085s5_spj.sql
Q283,query087s5.sql
Q284,query091s5.sql
Q285,query091s5_spj.sql
Q286,query094s5.sql
Q287,query099s5.sql
Q288,query099s5_spj.sql
Q289,query100s5.sql
Q290,query100s5_spj.sql
Q291,query101s5.sql
Q292,query101s5_spj.sql
Q293,query102s5.sql
Q294,query102s5_spj.sql
Q295,query001s6.sql
Q296,query010s6.sql
Q297,query013s6.sql
Q298,query013s6_spj.sql
Q299,query014s6.sql
Q300,query018s6_spj.sql
Q301,query019s6.sql
Q302,query019s6_spj.sql
Q303,query023s6.sql
Q304,query025s6.sql
Q305,query025s6_spj.sql
Q306,query027s6.sql
Q307,query027s6_spj.sql
Q308,query030s6.sql
Q309,query031s6.sql
Q310,query038s6.sql
Q311,query039as6.sql
Q312,query039bs6.sql
Q313,query040s6.sql
Q314,query040s6_spj.sql
Q315,query050s6.sql
Q316,query050s6_spj.sql
Q317,query054s6.sql
Q318,query058s6.sql
Q319,query059s6.sql
Q320,query064s6.sql
Q321,query065s6.sql
Q322,query069s6.sql
Q323,query072s6.sql
Q324,query072s6_spj.sql
Q325,query075s6.sql
Q326,query080s6.sql
Q327,query083s6.sql
Q328,query084s6.sql
Q329,query084s6_spj.sql
Q330,query085s6.sql
Q331,query085s6_spj.sql
Q332,query087s6.sql
Q333,query091s6.sql
Q334,query091s6_spj.sql
Q335,query094s6.sql
Q336,query099s6.sql
Q337,query099s6_spj.sql
Q338,query100s6.sql
Q339,query100s6_spj.sql
Q340,query101s6.sql
Q341,query101s6_spj.sql
Q342,query102s6.sql
Q343,query102s6_spj.sql
Q344,query001s7.sql
Q345,query010s7.sql
Q346,query013s7.sql
Q347,query013s7_spj.sql
Q348,query014s7.sql
Q349,query018s7_spj.sql
Q350,query019s7.sql
Q351,query019s7_spj.sql
Q352,query023s7.sql
Q353,query025s7.sql
Q354,query025s7_spj.sql
Q355,query027s7.sql
Q356,query027s7_spj.sql
Q357,query030s7.sql
Q358,query031s7.sql
Q359,query038s7.sql
Q360,query039as7.sql
Q361,query039bs7.sql
Q362,query040s7.sql
Q363,query040s7_spj.sql
Q364,query050s7.sql
Q365,query050s7_spj.sql
Q366,query054s7.sql
Q367,query058s7.sql
Q368,query059s7.sql
Q369,query064s7.sql
Q370,query065s7.sql
Q371,query069s7.sql
Q372,query072s7.sql
Q373,query072s7_spj.sql
Q374,query075s7.sql
Q375,query080s7.sql
Q376,query083s7.sql
Q377,query084s7.sql
Q378,query084s7_spj.sql
Q379,query085s7.sql
Q380,query085s7_spj.sql
Q381,query087s7.sql
Q382,query091s7.sql
Q383,query091s7_spj.sql
Q384,query094s7.sql
Q385,query099s7.sql
Q386,query099s7_spj.sql
Q387,query100s7.sql
Q388,query100s7_spj.sql
Q389,query101s7.sql
Q390,query101s7_spj.sql
Q391,query102s7.sql
Q392,query102s7_spj.sql
Q393,query001s8.sql
Q394,query010s8.sql
Q395,query013s8.sql
Q396,query013s8_spj.sql
Q397,query014s8.sql
Q398,query018s8_spj.sql
Q399,query019s8.sql
Q400,query019s8_spj.sql
Q401,query023s8.sql
Q402,query025s8.sql
Q403,query025s8_spj.sql
Q404,query027s8.sql
Q405,query027s8_spj.sql
Q406,query030s8.sql
Q407,query031s8.sql
Q408,query038s8.sql
Q409,query039as8.sql
Q410,query039bs8.sql
Q411,query040s8.sql
Q412,query040s8_spj.sql
Q413,query050s8.sql
Q414,query050s8_spj.sql
Q415,query054s8.sql
Q416,query058s8.sql
Q417,query059s8.sql
Q418,query064s8.sql
Q419,query065s8.sql
Q420,query069s8.sql
Q421,query072s8.sql
Q422,query072s8_spj.sql
Q423,query075s8.sql
Q424,query080s8.sql
Q425,query083s8.sql
Q426,query084s8.sql
Q427,query084s8_spj.sql
Q428,query085s8.sql
Q429,query085s8_spj.sql
Q430,query087s8.sql
Q431,query091s8.sql
Q432,query091s8_spj.sql
Q433,query094s8.sql
Q434,query099s8.sql
Q435,query099s8_spj.sql
Q436,query100s8.sql
Q437,query100s8_spj.sql
Q438,query101s8.sql
Q439,query101s8_spj.sql
Q440,query102s8.sql
Q441,query102s8_spj.sql
Q442,query001s9.sql
Q443,query010s9.sql
Q444,query013s9.sql
Q445,query013s9_spj.sql
Q446,query014s9.sql
Q447,query018s9_spj.sql
Q448,query019s9.sql
Q449,query019s9_spj.sql
Q450,query023s9.sql
Q451,query025s9.sql
Q452,query025s9_spj.sql
Q453,query027s9.sql
Q454,query027s9_spj.sql
Q455,query030s9.sql
Q456,query031s9.sql
Q457,query038s9.sql
Q458,query039as9.sql
Q459,query039bs9.sql
Q460,query040s9.sql
Q461,query040s9_spj.sql
Q462,query050s9.sql
Q463,query050s9_spj.sql
Q464,query054s9.sql
Q465,query058s9.sql
Q466,query059s9.sql
Q467,query064s9.sql
Q468,query065s9.sql
Q469,query069s9.sql
Q470,query072s9.sql
Q471,query072s9_spj.sql
Q472,query075s9.sql
Q473,query080s9.sql
Q474,query083s9.sql
Q475,query084s9.sql
Q476,query084s9_spj.sql
Q477,query085s9.sql
Q478,query085s9_spj.sql
Q479,query087s9.sql
Q480,query091s9.sql
Q481,query091s9_spj.sql
Q482,query094s9.sql
Q483,query099s9.sql
Q484,query099s9_spj.sql
Q485,query100s9.sql
Q486,query100s9_spj.sql
Q487,query101s9.sql
Q488,query101s9_spj.sql
Q489,query102s9.sql
Q490,query102s9_spj.sql
